branch,dN,dS,omega,lnL,SOG,Model
12..6,0.1945,2.2377,0.0869,-5847.306302,OG0003800,M0
8..7,0.2644,3.0425,0.0869,-5847.306302,OG0003800,M0
8..1,0.0924,2.4739,0.0374,-2177.264774,OG0003773,M0
8..9,0.0981,2.6244,0.0374,-2177.264774,OG0003773,M0
9..10,0.0131,0.3513,0.0374,-2177.264774,OG0003773,M0
10..11,0.0474,1.2685,0.0374,-2177.264774,OG0003773,M0
11..2,0.0628,1.6793,0.0374,-2177.264774,OG0003773,M0
11..3,0.0593,1.5873,0.0374,-2177.264774,OG0003773,M0
10..12,0.0688,1.8418,0.0374,-2177.264774,OG0003773,M0
12..5,0.0341,0.9135,0.0374,-2177.264774,OG0003773,M0
12..6,0.1192,3.1903,0.0374,-2177.264774,OG0003773,M0
9..4,0.0822,2.1987,0.0374,-2177.264774,OG0003773,M0
8..7,0.0885,2.3697,0.0374,-2177.264774,OG0003773,M0
8..1,0.0138,5.3208,0.0026,-2413.695219,OG0003801,M0
8..9,0.0,0.0,0.0026,-2413.695219,OG0003801,M0
9..10,0.0,0.0,0.0026,-2413.695219,OG0003801,M0
10..11,0.0556,21.5143,0.0026,-2413.695219,OG0003801,M0
11..2,0.0407,15.7639,0.0026,-2413.695219,OG0003801,M0
11..3,0.0455,17.5949,0.0026,-2413.695219,OG0003801,M0
10..7,0.0023,0.8927,0.0026,-2413.695219,OG0003801,M0
9..4,0.0037,1.4374,0.0026,-2413.695219,OG0003801,M0
8..12,0.0465,17.9854,0.0026,-2413.695219,OG0003801,M0
12..5,0.0312,12.0708,0.0026,-2413.695219,OG0003801,M0
12..6,0.01,3.8726,0.0026,-2413.695219,OG0003801,M0
8..1,0.2927,86.2324,0.0034,-2638.571324,OG0003795,M0
8..9,0.0392,11.538,0.0034,-2638.571324,OG0003795,M0
9..10,0.073,21.5164,0.0034,-2638.571324,OG0003795,M0
10..2,0.0815,24.0131,0.0034,-2638.571324,OG0003795,M0
10..3,0.142,41.8385,0.0034,-2638.571324,OG0003795,M0
9..7,0.2115,62.2969,0.0034,-2638.571324,OG0003795,M0
8..11,0.0623,18.3611,0.0034,-2638.571324,OG0003795,M0
11..4,0.0649,19.1288,0.0034,-2638.571324,OG0003795,M0
11..12,0.2286,67.3286,0.0034,-2638.571324,OG0003795,M0
12..5,0.0979,28.836,0.0034,-2638.571324,OG0003795,M0
12..6,0.1416,41.699,0.0034,-2638.571324,OG0003795,M0
8..1,0.1222,2.6813,0.0456,-9360.999831,OG0003789,M0
8..9,0.046,1.0102,0.0456,-9360.999831,OG0003789,M0
9..10,0.0466,1.0216,0.0456,-9360.999831,OG0003789,M0
10..11,0.1297,2.847,0.0456,-9360.999831,OG0003789,M0
11..2,0.0571,1.2537,0.0456,-9360.999831,OG0003789,M0
11..3,0.0737,1.6169,0.0456,-9360.999831,OG0003789,M0
10..12,0.1704,3.7404,0.0456,-9360.999831,OG0003789,M0
12..5,0.1289,2.8295,0.0456,-9360.999831,OG0003789,M0
12..6,0.1241,2.724,0.0456,-9360.999831,OG0003789,M0
9..4,0.1913,4.1982,0.0456,-9360.999831,OG0003789,M0
8..7,0.196,4.3019,0.0456,-9360.999831,OG0003789,M0
8..1,0.2434,4.2948,0.0567,-4817.947761,OG0003796,M0
8..9,0.0839,1.4795,0.0567,-4817.947761,OG0003796,M0
9..10,0.0189,0.334,0.0567,-4817.947761,OG0003796,M0
10..11,0.0706,1.2456,0.0567,-4817.947761,OG0003796,M0
11..2,0.0847,1.4935,0.0567,-4817.947761,OG0003796,M0
11..3,0.1206,2.1279,0.0567,-4817.947761,OG0003796,M0
10..12,0.1019,1.7981,0.0567,-4817.947761,OG0003796,M0
12..5,0.1124,1.983,0.0567,-4817.947761,OG0003796,M0
12..6,0.0795,1.4031,0.0567,-4817.947761,OG0003796,M0
9..4,0.0974,1.7185,0.0567,-4817.947761,OG0003796,M0
8..7,0.1472,2.5977,0.0567,-4817.947761,OG0003796,M0
8..1,0.1084,1.7064,0.0635,-5951.527346,OG0003804,M0
8..9,0.0391,0.6156,0.0635,-5951.527346,OG0003804,M0
9..10,0.0687,1.081,0.0635,-5951.527346,OG0003804,M0
10..2,0.0622,0.978,0.0635,-5951.527346,OG0003804,M0
10..11,0.0226,0.3559,0.0635,-5951.527346,OG0003804,M0
11..3,0.045,0.7081,0.0635,-5951.527346,OG0003804,M0
11..12,0.0847,1.3335,0.0635,-5951.527346,OG0003804,M0
12..5,0.0707,1.112,0.0635,-5951.527346,OG0003804,M0
12..6,0.0591,0.9303,0.0635,-5951.527346,OG0003804,M0
9..4,0.1017,1.6008,0.0635,-5951.527346,OG0003804,M0
8..7,0.1525,2.3997,0.0635,-5951.527346,OG0003804,M0
8..1,0.2078,3.9231,0.053,-7518.576317,OG0003848,M0
8..9,0.0812,1.5319,0.053,-7518.576317,OG0003848,M0
9..10,0.0661,1.248,0.053,-7518.576317,OG0003848,M0
10..11,0.0955,1.8035,0.053,-7518.576317,OG0003848,M0
11..2,0.1084,2.0466,0.053,-7518.576317,OG0003848,M0
11..3,0.1837,3.4668,0.053,-7518.576317,OG0003848,M0
10..12,0.1376,2.5976,0.053,-7518.576317,OG0003848,M0
12..5,0.1542,2.9099,0.053,-7518.576317,OG0003848,M0
12..6,0.163,3.0768,0.053,-7518.576317,OG0003848,M0
9..4,0.2019,3.8116,0.053,-7518.576317,OG0003848,M0
8..7,0.1596,3.0122,0.053,-7518.576317,OG0003848,M0
8..1,0.2467,9.3811,0.0263,-5340.231602,OG0003781,M0
8..9,0.0781,2.971,0.0263,-5340.231602,OG0003781,M0
9..10,0.0627,2.3862,0.0263,-5340.231602,OG0003781,M0
10..11,0.0908,3.453,0.0263,-5340.231602,OG0003781,M0
11..2,0.1566,5.9553,0.0263,-5340.231602,OG0003781,M0
11..3,0.1295,4.9267,0.0263,-5340.231602,OG0003781,M0
10..12,0.1675,6.3715,0.0263,-5340.231602,OG0003781,M0
12..5,0.1865,7.0924,0.0263,-5340.231602,OG0003781,M0
12..6,0.2034,7.7377,0.0263,-5340.231602,OG0003781,M0
9..4,0.145,5.5166,0.0263,-5340.231602,OG0003781,M0
8..7,0.246,9.3547,0.0263,-5340.231602,OG0003781,M0
8..1,0.2487,60.108,0.0041,-12553.703057,OG0003782,M0
8..9,0.0561,13.5679,0.0041,-12553.703057,OG0003782,M0
9..10,0.1477,35.6974,0.0041,-12553.703057,OG0003782,M0
10..2,0.1793,43.3384,0.0041,-12553.703057,OG0003782,M0
10..3,0.1483,35.8407,0.0041,-12553.703057,OG0003782,M0
9..11,0.1558,37.6568,0.0041,-12553.703057,OG0003782,M0
11..5,0.1481,35.7873,0.0041,-12553.703057,OG0003782,M0
11..6,0.1477,35.6908,0.0041,-12553.703057,OG0003782,M0
8..12,0.0543,13.1218,0.0041,-12553.703057,OG0003782,M0
12..4,0.2973,71.8457,0.0041,-12553.703057,OG0003782,M0
12..7,0.2354,56.8769,0.0041,-12553.703057,OG0003782,M0
8..1,0.1601,2.2339,0.0717,-8093.860471,OG0003787,M0
8..9,0.0126,0.1753,0.0717,-8093.860471,OG0003787,M0
9..10,0.062,0.8649,0.0717,-8093.860471,OG0003787,M0
10..11,0.1518,2.1175,0.0717,-8093.860471,OG0003787,M0
11..2,0.1106,1.5431,0.0717,-8093.860471,OG0003787,M0
11..3,0.1434,2.0012,0.0717,-8093.860471,OG0003787,M0
10..12,0.1744,2.4327,0.0717,-8093.860471,OG0003787,M0
12..5,0.1784,2.4893,0.0717,-8093.860471,OG0003787,M0
12..6,0.1056,1.4736,0.0717,-8093.860471,OG0003787,M0
9..7,0.3379,4.7147,0.0717,-8093.860471,OG0003787,M0
8..4,0.3475,4.8477,0.0717,-8093.860471,OG0003787,M0
8..1,0.214,36.2531,0.0059,-11923.421286,OG0003812,M0
8..9,0.1546,26.2011,0.0059,-11923.421286,OG0003812,M0
9..2,0.0848,14.3689,0.0059,-11923.421286,OG0003812,M0
9..3,0.0965,16.3459,0.0059,-11923.421286,OG0003812,M0
8..10,0.0358,6.0618,0.0059,-11923.421286,OG0003812,M0
10..11,0.0448,7.5856,0.0059,-11923.421286,OG0003812,M0
11..4,0.1469,24.8943,0.0059,-11923.421286,OG0003812,M0
11..12,0.1395,23.636,0.0059,-11923.421286,OG0003812,M0
12..5,0.1921,32.5522,0.0059,-11923.421286,OG0003812,M0
12..6,0.1538,26.0562,0.0059,-11923.421286,OG0003812,M0
10..7,0.1676,28.4044,0.0059,-11923.421286,OG0003812,M0
8..1,0.1876,28.5446,0.0066,-5360.85676,OG0003818,M0
8..9,0.1576,23.9847,0.0066,-5360.85676,OG0003818,M0
9..10,0.028,4.2588,0.0066,-5360.85676,OG0003818,M0
10..11,0.1363,20.735,0.0066,-5360.85676,OG0003818,M0
11..2,0.2281,34.7079,0.0066,-5360.85676,OG0003818,M0
11..3,0.4135,62.9141,0.0066,-5360.85676,OG0003818,M0
10..4,0.182,27.6838,0.0066,-5360.85676,OG0003818,M0
9..12,0.1857,28.2477,0.0066,-5360.85676,OG0003818,M0
12..5,0.2635,40.0958,0.0066,-5360.85676,OG0003818,M0
12..6,0.2948,44.848,0.0066,-5360.85676,OG0003818,M0
8..7,0.3375,51.3441,0.0066,-5360.85676,OG0003818,M0
8..1,0.1209,3.4307,0.0352,-4964.487293,OG0003820,M0
8..9,0.0311,0.8833,0.0352,-4964.487293,OG0003820,M0
9..10,0.0232,0.6584,0.0352,-4964.487293,OG0003820,M0
10..11,0.0528,1.4978,0.0352,-4964.487293,OG0003820,M0
11..2,0.0185,0.5239,0.0352,-4964.487293,OG0003820,M0
11..3,0.0506,1.4363,0.0352,-4964.487293,OG0003820,M0
10..4,0.0586,1.6627,0.0352,-4964.487293,OG0003820,M0
9..12,0.0781,2.2155,0.0352,-4964.487293,OG0003820,M0
12..5,0.116,3.2934,0.0352,-4964.487293,OG0003820,M0
12..6,0.0873,2.4765,0.0352,-4964.487293,OG0003820,M0
8..7,0.0976,2.7701,0.0352,-4964.487293,OG0003820,M0
8..1,0.4758,86.5897,0.0055,-8681.758851,OG0003822,M0
8..9,0.1204,21.9167,0.0055,-8681.758851,OG0003822,M0
9..10,0.0454,8.2697,0.0055,-8681.758851,OG0003822,M0
10..11,0.3268,59.4824,0.0055,-8681.758851,OG0003822,M0
11..2,0.2273,41.3659,0.0055,-8681.758851,OG0003822,M0
11..3,0.4627,84.2195,0.0055,-8681.758851,OG0003822,M0
10..7,0.3096,56.3522,0.0055,-8681.758851,OG0003822,M0
9..4,0.272,49.4989,0.0055,-8681.758851,OG0003822,M0
8..12,0.1339,24.3614,0.0055,-8681.758851,OG0003822,M0
12..5,0.2287,41.6256,0.0055,-8681.758851,OG0003822,M0
12..6,0.1632,29.6948,0.0055,-8681.758851,OG0003822,M0
8..1,0.0688,1.4695,0.0468,-6283.917737,OG0003823,M0
8..9,0.0423,0.9023,0.0468,-6283.917737,OG0003823,M0
9..10,0.0225,0.4811,0.0468,-6283.917737,OG0003823,M0
10..11,0.0471,1.0061,0.0468,-6283.917737,OG0003823,M0
11..2,0.0281,0.6007,0.0468,-6283.917737,OG0003823,M0
11..3,0.0367,0.7834,0.0468,-6283.917737,OG0003823,M0
10..12,0.0478,1.0216,0.0468,-6283.917737,OG0003823,M0
12..5,0.0478,1.0203,0.0468,-6283.917737,OG0003823,M0
12..6,0.0351,0.7504,0.0468,-6283.917737,OG0003823,M0
9..4,0.0517,1.1044,0.0468,-6283.917737,OG0003823,M0
8..7,0.0853,1.8221,0.0468,-6283.917737,OG0003823,M0
8..1,0.1173,54.8721,0.0021,-11314.004364,OG0003815,M0
8..9,0.0414,19.3758,0.0021,-11314.004364,OG0003815,M0
9..10,0.0223,10.4421,0.0021,-11314.004364,OG0003815,M0
10..11,0.0562,26.2769,0.0021,-11314.004364,OG0003815,M0
11..2,0.0387,18.1265,0.0021,-11314.004364,OG0003815,M0
11..3,0.0527,24.6612,0.0021,-11314.004364,OG0003815,M0
10..12,0.1149,53.7689,0.0021,-11314.004364,OG0003815,M0
12..5,0.0572,26.7734,0.0021,-11314.004364,OG0003815,M0
12..6,0.0684,32.0249,0.0021,-11314.004364,OG0003815,M0
9..4,0.0781,36.5532,0.0021,-11314.004364,OG0003815,M0
8..7,0.0784,36.7076,0.0021,-11314.004364,OG0003815,M0
8..1,0.1524,17.3705,0.0088,-6692.736107,OG0003833,M0
8..9,0.0706,8.0499,0.0088,-6692.736107,OG0003833,M0
9..10,0.0647,7.3791,0.0088,-6692.736107,OG0003833,M0
10..11,0.1065,12.1407,0.0088,-6692.736107,OG0003833,M0
11..2,0.0734,8.3663,0.0088,-6692.736107,OG0003833,M0
11..3,0.1012,11.5336,0.0088,-6692.736107,OG0003833,M0
10..12,0.2076,23.6716,0.0088,-6692.736107,OG0003833,M0
12..5,0.1719,19.5954,0.0088,-6692.736107,OG0003833,M0
12..6,0.1494,17.0352,0.0088,-6692.736107,OG0003833,M0
9..4,0.2748,31.3299,0.0088,-6692.736107,OG0003833,M0
8..7,0.3895,44.4086,0.0088,-6692.736107,OG0003833,M0
8..1,0.1209,1.753,0.0689,-7422.739316,OG0003828,M0
8..9,0.0291,0.4217,0.0689,-7422.739316,OG0003828,M0
9..10,0.0283,0.411,0.0689,-7422.739316,OG0003828,M0
10..11,0.0561,0.8143,0.0689,-7422.739316,OG0003828,M0
11..2,0.0548,0.7946,0.0689,-7422.739316,OG0003828,M0
11..3,0.0763,1.1069,0.0689,-7422.739316,OG0003828,M0
10..12,0.108,1.5667,0.0689,-7422.739316,OG0003828,M0
12..5,0.0896,1.2994,0.0689,-7422.739316,OG0003828,M0
12..6,0.0743,1.0779,0.0689,-7422.739316,OG0003828,M0
9..4,0.099,1.4357,0.0689,-7422.739316,OG0003828,M0
8..7,0.1532,2.2217,0.0689,-7422.739316,OG0003828,M0
8..1,0.41,3.8295,0.1071,-6064.596186,OG0003826,M0
8..9,0.1683,1.5719,0.1071,-6064.596186,OG0003826,M0
9..2,0.2202,2.0562,0.1071,-6064.596186,OG0003826,M0
9..3,0.2487,2.3225,0.1071,-6064.596186,OG0003826,M0
8..10,0.0359,0.3357,0.1071,-6064.596186,OG0003826,M0
10..11,0.0839,0.7837,0.1071,-6064.596186,OG0003826,M0
11..4,0.1824,1.7033,0.1071,-6064.596186,OG0003826,M0
11..7,0.238,2.223,0.1071,-6064.596186,OG0003826,M0
10..12,0.142,1.3263,0.1071,-6064.596186,OG0003826,M0
12..5,0.1482,1.3836,0.1071,-6064.596186,OG0003826,M0
12..6,0.1578,1.4735,0.1071,-6064.596186,OG0003826,M0
8..1,0.2036,1.4055,0.1448,-9842.018633,OG0003827,M0
8..9,0.1103,0.7615,0.1448,-9842.018633,OG0003827,M0
9..10,0.0339,0.2337,0.1448,-9842.018633,OG0003827,M0
10..11,0.0644,0.4443,0.1448,-9842.018633,OG0003827,M0
11..2,0.0915,0.6318,0.1448,-9842.018633,OG0003827,M0
