Pn,Ps,Dn,Ds,Gene,NI
177,372,91,170,OG0003852_codon_alignment,0.8888691953208083
44,202,35,99,OG0003836_codon_alignment,0.6161244695898161
248,572,154,278,OG0003737_codon_alignment,0.7826718735809645
49,95,28,43,OG0003835_codon_alignment,0.7921052631578948
362,650,228,266,OG0003738_codon_alignment,0.6497435897435898
54,224,15,71,OG0003834_codon_alignment,1.1410714285714285
186,327,112,134,OG0003739_codon_alignment,0.6805373525557012
29,154,15,61,OG0003833_codon_alignment,0.7658008658008658
205,485,109,197,OG0003740_codon_alignment,0.7639269838267284
217,550,99,240,OG0003762_codon_alignment,0.9564738292011019
27,107,19,66,OG0003741_codon_alignment,0.8765371372356122
17,378,6,166,OG0003761_codon_alignment,1.244268077601411
63,173,33,87,OG0003742_codon_alignment,0.9600630583289543
39,223,25,94,OG0003760_codon_alignment,0.6575784753363229
374,632,201,253,OG0003743_codon_alignment,0.7448674349770138
163,319,70,133,OG0003759_codon_alignment,0.9708463949843261
219,294,96,139,OG0003744_codon_alignment,1.0785501700680273
68,99,69,49,OG0003758_codon_alignment,0.48777631386327036
147,159,116,61,OG0003745_codon_alignment,0.48617436564736505
160,570,54,265,OG0003757_codon_alignment,1.3775178687459388
169,617,108,248,OG0003746_codon_alignment,0.6289693258899094
42,464,51,185,OG0003756_codon_alignment,0.3283468559837728
14,153,10,86,OG0003747_codon_alignment,0.7869281045751634
61,283,37,118,OG0003755_codon_alignment,0.6874224047368924
56,153,44,74,OG0003748_codon_alignment,0.6155674390968507
287,559,149,228,OG0003754_codon_alignment,0.7856311005991043
215,373,113,167,OG0003749_codon_alignment,0.8518588815867518
68,222,32,103,OG0003753_codon_alignment,0.9859234234234234
126,126,50,53,OG0003750_codon_alignment,1.06
98,228,61,108,OG0003752_codon_alignment,0.7610008628127697
118,440,75,212,OG0003751_codon_alignment,0.7580606060606061
63,178,41,68,OG0003736_codon_alignment,0.587010139764319
343,530,166,240,OG0003907_codon_alignment,0.9356671970902477
258,380,108,150,OG0003734_codon_alignment,0.9429824561403509
7,93,4,43,OG0003908_codon_alignment,0.8091397849462366
54,328,40,170,OG0003733_codon_alignment,0.6996951219512195
334,431,216,185,OG0003909_codon_alignment,0.6637234682478302
46,252,28,110,OG0003732_codon_alignment,0.7171201814058957
65,298,47,138,OG0003910_codon_alignment,0.640439811509353
8,49,5,20,OG0005970_codon_alignment,0.6530612244897959
68,199,66,98,OG0003911_codon_alignment,0.507385411908025
132,186,47,91,OG0005968_codon_alignment,1.3740562800274536
208,329,123,143,OG0003912_codon_alignment,0.7350186571774533
37,138,31,69,OG0005967_codon_alignment,0.5967741935483871
436,582,215,234,OG0003914_codon_alignment,0.8153440421961161
237,471,133,206,OG0005966_codon_alignment,0.7793688041760451
194,281,94,125,OG0003915_codon_alignment,0.9180737487695919
130,451,89,214,OG0003930_codon_alignment,0.6930915070131294
98,256,74,98,OG0003916_codon_alignment,0.5069679054054055
55,367,25,161,OG0003929_codon_alignment,0.9651226158038148
212,463,117,175,OG0003917_codon_alignment,0.6848682874600801
359,407,96,136,OG0003928_codon_alignment,1.2495904995904996
508,765,240,284,OG0003918_codon_alignment,0.7857952069716776
115,224,59,84,OG0003927_codon_alignment,0.7309322033898304
76,403,44,168,OG0003919_codon_alignment,0.7200541394089781
70,287,47,129,OG0003926_codon_alignment,0.6694343539180073
76,238,55,97,OG0003920_codon_alignment,0.5631779984721161
127,219,52,77,OG0003925_codon_alignment,0.8587109237794169
284,531,146,206,OG0003921_codon_alignment,0.7546371539870496
227,421,155,178,OG0003924_codon_alignment,0.6192015937476055
99,225,55,95,OG0003923_codon_alignment,0.76
550,532,283,241,OG0003906_codon_alignment,0.8804033050824941
308,579,189,273,OG0005975_codon_alignment,0.7683745922087892
174,142,90,58,OG0003905_codon_alignment,0.7896713615023474
47,322,34,159,OG0005976_codon_alignment,0.6825904274753379
101,187,69,88,OG0003904_codon_alignment,0.6888320545609549
561,739,345,312,OG0005978_codon_alignment,0.686521150791316
146,319,63,143,OG0003903_codon_alignment,1.0388615216201422
92,193,61,83,OG0005979_codon_alignment,0.6486027350717744
137,462,64,197,OG0005932_codon_alignment,0.9127773268398269
204,317,132,137,OG0005980_codon_alignment,0.6679093776885575
482,435,235,190,OG0005927_codon_alignment,0.8958669601369528
639,964,297,401,OG0005981_codon_alignment,0.8949767383377341
88,250,43,113,OG0005926_codon_alignment,0.9250232558139535
160,268,44,108,OG0005982_codon_alignment,1.4654002713704206
183,428,102,215,OG0005925_codon_alignment,0.9012506871907642
767,748,370,232,OG0005983_codon_alignment,0.6429541841306547
87,214,40,105,OG0005999_codon_alignment,1.0671728971962617
572,527,301,226,OG0005984_codon_alignment,0.814943231606221
27,158,13,61,OG0005997_codon_alignment,0.8018500486854917
172,248,107,115,OG0005985_codon_alignment,0.7454024721133555
45,273,42,142,OG0005996_codon_alignment,0.5572998430141287
35,114,14,47,OG0005986_codon_alignment,1.030701754385965
141,226,78,79,OG0005995_codon_alignment,0.6318924438393464
167,322,136,147,OG0005988_codon_alignment,0.5605818414322251
253,829,198,333,OG0005994_codon_alignment,0.5132689987937273
90,381,59,155,OG0005989_codon_alignment,0.6205792072601095
93,152,36,62,OG0005993_codon_alignment,1.0537280701754383
495,1051,392,432,OG0005990_codon_alignment,0.5190392046447504
193,533,85,236,OG0005992_codon_alignment,1.005363646396645
125,349,52,158,OG0005991_codon_alignment,1.0882741899933879
129,328,56,140,OG0005974_codon_alignment,0.9832317073170732
85,260,81,112,OG0004113_codon_alignment,0.45204178537511874
299,565,133,227,OG0005973_codon_alignment,0.9032270942843835
208,342,111,140,OG0004114_codon_alignment,0.7670828723460302
144,288,44,117,OG0005972_codon_alignment,1.3295454545454546
136,556,74,224,OG0004115_codon_alignment,0.7404238771145246
77,431,43,187,OG0005971_codon_alignment,0.776938434144499
151,394,87,165,OG0004116_codon_alignment,0.726851041484334
161,141,83,55,OG0004071_codon_alignment,0.7566435956592327
109,266,63,109,OG0004118_codon_alignment,0.7089748179973744
165,446,88,195,OG0004070_codon_alignment,0.8197869955156951
186,375,72,181,OG0004119_codon_alignment,1.246888888888889
100,500,87,225,OG0004069_codon_alignment,0.5172413793103449
57,523,45,233,OG0004120_codon_alignment,0.5643084767367751
137,282,74,144,OG0004068_codon_alignment,0.9453709028177114
0,93,1,44,OG0004121_codon_alignment,0.0
229,612,126,261,OG0004135_codon_alignment,0.775093370681606
245,219,100,106,OG0004122_codon_alignment,1.1858447488584476
84,84,15,22,OG0004134_codon_alignment,1.4666666666666668
93,599,43,282,OG0004123_codon_alignment,1.018208642310828
508,462,253,189,OG0004133_codon_alignment,0.821415738411786
301,496,168,244,OG0004124_codon_alignment,0.8813844086021505
31,262,18,109,OG0004132_codon_alignment,0.7164970313825275
170,202,141,103,OG0004125_codon_alignment,0.614774243381785
144,278,36,129,OG0004131_codon_alignment,1.856115107913669
115,339,92,175,OG0004126_codon_alignment,0.6452802359882006
113,191,41,91,OG0004130_codon_alignment,1.313114544758013
191,545,107,238,OG0004127_codon_alignment,0.7795249935694075
162,137,101,67,OG0004129_codon_alignment,0.7844185878441859
79,130,54,63,OG0004128_codon_alignment,0.708974358974359
295,128,137,51,OG0004010_codon_alignment,0.8579493613138687
147,274,61,99,OG0003466_codon_alignment,0.8707071915759244
96,169,53,95,OG0004009_codon_alignment,1.0181980573852853
103,285,117,153,OG0003467_codon_alignment,0.4726045883940621
168,177,73,66,OG0004008_codon_alignment,0.8581379150220572
6,152,1,67,OG0003468_codon_alignment,2.6447368421052633
16,228,18,107,OG0004007_codon_alignment,0.4171539961013645
254,476,176,256,OG0003470_codon_alignment,0.7761650114591291
123,238,76,104,OG0003494_codon_alignment,0.7072091994692615
77,108,36,64,OG0003471_codon_alignment,1.2674897119341564
12,94,7,49,OG0003493_codon_alignment,0.8936170212765957
76,219,46,97,OG0003472_codon_alignment,0.7317847925352392
319,311,151,142,OG0003492_codon_alignment,0.9645876365494773
120,195,101,120,OG0003475_codon_alignment,0.7311500380807312
183,570,86,270,OG0003491_codon_alignment,1.007955936352509
205,330,94,155,OG0003476_codon_alignment,1.0243391360412637
403,305,174,138,OG0003490_codon_alignment,1.047936687394008
345,417,216,208,OG0003477_codon_alignment,0.7966959765520916
132,359,82,214,OG0003489_codon_alignment,0.9595760581561248
84,304,121,167,OG0003478_codon_alignment,0.38136146150500216
131,129,58,73,OG0003488_codon_alignment,1.2781341887195938
1003,1111,587,523,OG0003479_codon_alignment,0.8043599930691535
168,509,96,247,OG0003487_codon_alignment,0.8492141453831041
63,37,13,10,OG0003480_codon_alignment,1.3097713097713097
100,459,64,223,OG0003486_codon_alignment,0.7591230936819172
34,236,38,112,OG0003481_codon_alignment,0.42462087421944694
111,901,174,389,OG0003485_codon_alignment,0.2754219449653642
158,487,128,212,OG0003482_codon_alignment,0.5373459958932238
275,221,134,108,OG0003484_codon_alignment,1.002904031876815
137,190,94,86,OG0003483_codon_alignment,0.6596864501679732
80,597,46,217,OG0004257_codon_alignment,0.6321462384385697
61,122,33,55,OG0004076_codon_alignment,0.8333333333333334
56,452,28,170,OG0004256_codon_alignment,0.7522123893805309
526,738,324,305,OG0004077_codon_alignment,0.6709408143464152
180,446,107,182,OG0004255_codon_alignment,0.6864758392355726
289,821,123,314,OG0004078_codon_alignment,0.8986265014903497
71,113,27,49,OG0004254_codon_alignment,1.1402818747951493
67,498,60,218,OG0004079_codon_alignment,0.4888219544846051
120,184,47,84,OG0004040_codon_alignment,1.1655874190564293
426,892,221,370,OG0004080_codon_alignment,0.7995657731875089
309,928,143,337,OG0004039_codon_alignment,0.7847012900892211
254,428,95,201,OG0004081_codon_alignment,1.2556320708312838
90,600,76,217,OG0004037_codon_alignment,0.42828947368421055
3,98,4,58,OG0004082_codon_alignment,0.44387755102040816
24,538,16,223,OG0004036_codon_alignment,0.6217472118959108
614,698,286,281,OG0004083_codon_alignment,0.8642775562546335
81,777,46,286,OG0004103_codon_alignment,0.6481450394493873
273,470,104,194,OG0004084_codon_alignment,1.0835106382978723
84,297,42,135,OG0004102_codon_alignment,0.9090909090909091
61,327,44,168,OG0004086_codon_alignment,0.7122602168473727
24,172,26,87,OG0004101_codon_alignment,0.46690518783542034
381,312,195,161,OG0004087_codon_alignment,1.008234714003945
134,300,72,145,OG0004100_codon_alignment,0.899537037037037
428,448,201,200,OG0004089_codon_alignment,0.9506041222459134
391,548,173,238,OG0004098_codon_alignment,0.9815830555672758
112,213,69,96,OG0004091_codon_alignment,0.7315778730353134
616,1416,315,516,OG0004096_codon_alignment,0.712617702448211
446,1605,288,608,OG0004092_codon_alignment,0.5866389754240222
23,409,17,120,OG0004095_codon_alignment,0.3969509564216885
68,121,48,39,OG0004094_codon_alignment,0.45661157024793386
26,279,16,102,OG0005181_codon_alignment,0.5940860215053764
101,164,63,70,OG0005149_codon_alignment,0.6842818428184282
88,287,39,127,OG0005180_codon_alignment,0.9984811936031447
232,383,101,175,OG0005150_codon_alignment,1.0495566527932167
92,438,64,194,OG0005179_codon_alignment,0.6367009132420091
5,110,6,66,OG0005151_codon_alignment,0.5
188,253,102,122,OG0005112_codon_alignment,0.8887855537471906
43,398,24,174,OG0005153_codon_alignment,0.7832914572864321
118,226,72,95,OG0005111_codon_alignment,0.6889134709931171
43,175,84,81,OG0005154_codon_alignment,0.2369387755102041
209,194,75,81,OG0005110_codon_alignment,1.1635051546391753
122,187,72,81,OG0005155_codon_alignment,0.733957219251337
43,207,35,105,OG0005109_codon_alignment,0.6231884057971016
110,233,56,109,OG0005156_codon_alignment,0.9189147762109134
285,514,172,249,OG0005173_codon_alignment,0.8026988507827346
567,514,273,212,OG0005157_codon_alignment,0.8566297515713859
185,197,94,84,OG0005171_codon_alignment,0.8391834971379198
248,230,100,98,OG0005158_codon_alignment,1.056695652173913
148,415,73,189,OG0005170_codon_alignment,0.9233206799801948
358,742,150,284,OG0005159_codon_alignment,0.9134950584007189
117,294,103,141,OG0005169_codon_alignment,0.5447790766792153
390,421,245,192,OG0005160_codon_alignment,0.7259682970575403
284,926,217,387,OG0005168_codon_alignment,0.5469638004996467
87,247,53,116,OG0005161_codon_alignment,0.7709113131158811
101,369,71,159,OG0005167_codon_alignment,0.6129623268063666
256,447,119,199,OG0005162_codon_alignment,0.9577200007519786
35,276,35,143,OG0005166_codon_alignment,0.5181159420289855
81,86,37,40,OG0005163_codon_alignment,1.0182275298554369
105,449,50,196,OG0005165_codon_alignment,0.9167037861915368
103,368,116,161,OG0005164_codon_alignment,0.3884698275862069
20,101,21,50,OG0005386_codon_alignment,0.4714757190004715
260,315,88,118,OG0005351_codon_alignment,1.1067821067821066
189,338,107,138,OG0005385_codon_alignment,0.721174583863297
23,223,22,84,OG0005352_codon_alignment,0.3938035059111292
55,147,53,75,OG0005384_codon_alignment,0.529457065845206
174,440,54,172,OG0005353_codon_alignment,1.2595959595959596
16,104,23,44,OG0005311_codon_alignment,0.29431438127090304
56,442,37,216,OG0005354_codon_alignment,0.7396355631649748
500,331,258,141,OG0005310_codon_alignment,0.8255462657205087
118,207,57,86,OG0005355_codon_alignment,0.8600728875328418
200,654,167,301,OG0005309_codon_alignment,0.5511911955904705
69,208,54,85,OG0005357_codon_alignment,0.5221688034188035
294,317,158,147,OG0005308_codon_alignment,0.862875853531925
147,282,84,126,OG0005358_codon_alignment,0.7819148936170214
196,270,105,106,OG0005378_codon_alignment,0.7328395061728395
223,364,131,145,OG0005360_codon_alignment,0.6781100578810503
258,909,133,373,OG0005377_codon_alignment,0.7959999007419538
160,190,102,88,OG0005362_codon_alignment,0.7265221878224973
111,221,107,94,OG0005376_codon_alignment,0.44123990358184967
118,248,69,109,OG0005363_codon_alignment,0.7516362786348761
301,234,151,94,OG0005375_codon_alignment,0.800758476255165
33,218,18,98,OG0005364_codon_alignment,0.8241590214067278
25,182,22,83,OG0005374_codon_alignment,0.5182317682317682
29,164,10,62,OG0005365_codon_alignment,1.096341463414634
139,203,71,76,OG0005373_codon_alignment,0.7329494206619025
295,406,145,162,OG0005367_codon_alignment,0.8117886869373194
276,874,154,338,OG0005372_codon_alignment,0.6930963773069035
102,279,85,107,OG0005368_codon_alignment,0.4602150537634409
109,270,67,117,OG0005371_codon_alignment,0.7049751243781095
17,112,9,45,OG0005369_codon_alignment,0.7589285714285713
69,257,51,109,OG0003530_codon_alignment,0.5738155184252689
347,405,154,165,OG0003565_codon_alignment,0.917989417989418
259,263,97,106,OG0003529_codon_alignment,1.0761632237074203
103,342,62,151,OG0003566_codon_alignment,0.7334936804376533
40,190,24,75,OG0003528_codon_alignment,0.6578947368421052
209,331,103,137,OG0003567_codon_alignment,0.8398498225442173
57,174,14,88,OG0003596_codon_alignment,2.0591133004926108
153,311,95,151,OG0003568_codon_alignment,0.7819597224572686
125,369,102,139,OG0003595_codon_alignment,0.4616345183059674
52,229,43,78,OG0003569_codon_alignment,0.4119021021630953
70,519,40,223,OG0003594_codon_alignment,0.7519267822736032
171,238,103,112,OG0003570_codon_alignment,0.7812678469446032
635,737,343,299,OG0003592_codon_alignment,0.751074998714353
111,133,80,79,OG0003571_codon_alignment,0.8241541353383458
83,702,50,236,OG0003590_codon_alignment,0.5580626780626781
13,142,8,69,OG0003573_codon_alignment,0.789612676056338
276,205,102,77,OG0003589_codon_alignment,1.0163558106169297
81,120,72,62,OG0003574_codon_alignment,0.58125
77,340,47,130,OG0003586_codon_alignment,0.6264080100125157
105,152,32,81,OG0003575_codon_alignment,1.748560855263158
203,264,94,110,OG0003585_codon_alignment,0.899822695035461
