branch,dN,dS,omega,lnL,SOG,Model
9..12,0.147,1.7171,0.0856,-5865.265763,OG0003800,M0
12..5,0.2497,2.9161,0.0856,-5865.265763,OG0003800,M0
12..6,0.2182,2.5478,0.0856,-5865.265763,OG0003800,M0
8..7,0.2464,2.8779,0.0856,-5865.265763,OG0003800,M0
8..1,0.2337,3.9748,0.0588,-7930.939054,OG0003788,M0
8..9,0.0533,0.9063,0.0588,-7930.939054,OG0003788,M0
9..10,0.0484,0.8233,0.0588,-7930.939054,OG0003788,M0
10..11,0.0927,1.5768,0.0588,-7930.939054,OG0003788,M0
11..2,0.134,2.2796,0.0588,-7930.939054,OG0003788,M0
11..3,0.1699,2.8888,0.0588,-7930.939054,OG0003788,M0
10..12,0.1694,2.8809,0.0588,-7930.939054,OG0003788,M0
12..5,0.1837,3.1235,0.0588,-7930.939054,OG0003788,M0
12..6,0.1403,2.3855,0.0588,-7930.939054,OG0003788,M0
9..4,0.1932,3.2857,0.0588,-7930.939054,OG0003788,M0
8..7,0.206,3.5034,0.0588,-7930.939054,OG0003788,M0
8..1,0.2393,9.4734,0.0253,-5331.207717,OG0003781,M0
8..9,0.0675,2.6709,0.0253,-5331.207717,OG0003781,M0
9..10,0.0609,2.4131,0.0253,-5331.207717,OG0003781,M0
10..11,0.0889,3.5212,0.0253,-5331.207717,OG0003781,M0
11..2,0.1592,6.3044,0.0253,-5331.207717,OG0003781,M0
11..3,0.127,5.0302,0.0253,-5331.207717,OG0003781,M0
10..12,0.1686,6.6756,0.0253,-5331.207717,OG0003781,M0
12..5,0.1853,7.3369,0.0253,-5331.207717,OG0003781,M0
12..6,0.2043,8.0906,0.0253,-5331.207717,OG0003781,M0
9..4,0.1466,5.8051,0.0253,-5331.207717,OG0003781,M0
8..7,0.2533,10.0306,0.0253,-5331.207717,OG0003781,M0
8..1,0.2391,87.6415,0.0027,-2650.390809,OG0003795,M0
8..9,0.1075,39.3995,0.0027,-2650.390809,OG0003795,M0
9..10,0.0793,29.0683,0.0027,-2650.390809,OG0003795,M0
10..2,0.0996,36.4882,0.0027,-2650.390809,OG0003795,M0
10..3,0.1236,45.3095,0.0027,-2650.390809,OG0003795,M0
9..11,0.0661,24.2394,0.0027,-2650.390809,OG0003795,M0
11..4,0.0975,35.7445,0.0027,-2650.390809,OG0003795,M0
11..12,0.2165,79.3656,0.0027,-2650.390809,OG0003795,M0
12..5,0.1053,38.5826,0.0027,-2650.390809,OG0003795,M0
12..6,0.1344,49.2462,0.0027,-2650.390809,OG0003795,M0
8..7,0.1449,53.0931,0.0027,-2650.390809,OG0003795,M0
8..1,0.2657,4.7991,0.0554,-9368.061571,OG0003778,M0
8..9,0.062,1.1193,0.0554,-9368.061571,OG0003778,M0
9..10,0.0362,0.6531,0.0554,-9368.061571,OG0003778,M0
10..11,0.1174,2.1208,0.0554,-9368.061571,OG0003778,M0
11..2,0.1083,1.9571,0.0554,-9368.061571,OG0003778,M0
11..3,0.1526,2.757,0.0554,-9368.061571,OG0003778,M0
10..12,0.1456,2.6305,0.0554,-9368.061571,OG0003778,M0
12..5,0.1598,2.8857,0.0554,-9368.061571,OG0003778,M0
12..6,0.1106,1.9968,0.0554,-9368.061571,OG0003778,M0
9..4,0.1945,3.5126,0.0554,-9368.061571,OG0003778,M0
8..7,0.2788,5.0351,0.0554,-9368.061571,OG0003778,M0
8..1,0.2311,78.4549,0.0029,-15237.780369,OG0003777,M0
8..9,0.0761,25.8246,0.0029,-15237.780369,OG0003777,M0
9..10,0.0389,13.1957,0.0029,-15237.780369,OG0003777,M0
10..11,0.0726,24.6297,0.0029,-15237.780369,OG0003777,M0
11..2,0.0754,25.6065,0.0029,-15237.780369,OG0003777,M0
11..3,0.1034,35.11,0.0029,-15237.780369,OG0003777,M0
10..12,0.1228,41.6912,0.0029,-15237.780369,OG0003777,M0
12..5,0.1303,44.2114,0.0029,-15237.780369,OG0003777,M0
12..6,0.146,49.5573,0.0029,-15237.780369,OG0003777,M0
9..4,0.147,49.879,0.0029,-15237.780369,OG0003777,M0
8..7,0.1984,67.3486,0.0029,-15237.780369,OG0003777,M0
8..1,0.3078,65.7462,0.0047,-13732.057881,OG0003757,M0
8..9,0.0819,17.4889,0.0047,-13732.057881,OG0003757,M0
9..10,0.0574,12.2531,0.0047,-13732.057881,OG0003757,M0
10..11,0.1689,36.0755,0.0047,-13732.057881,OG0003757,M0
11..2,0.1717,36.6734,0.0047,-13732.057881,OG0003757,M0
11..3,0.1426,30.4533,0.0047,-13732.057881,OG0003757,M0
10..12,0.1912,40.8487,0.0047,-13732.057881,OG0003757,M0
12..5,0.2759,58.926,0.0047,-13732.057881,OG0003757,M0
12..6,0.2415,51.5756,0.0047,-13732.057881,OG0003757,M0
9..4,0.2272,48.5387,0.0047,-13732.057881,OG0003757,M0
8..7,0.2694,57.5496,0.0047,-13732.057881,OG0003757,M0
8..1,0.0803,26.6264,0.003,-12589.083616,OG0003751,M0
8..9,0.0328,10.8826,0.003,-12589.083616,OG0003751,M0
9..10,0.0243,8.0454,0.003,-12589.083616,OG0003751,M0
10..11,0.0452,14.9958,0.003,-12589.083616,OG0003751,M0
11..2,0.0407,13.4977,0.003,-12589.083616,OG0003751,M0
11..3,0.0937,31.0991,0.003,-12589.083616,OG0003751,M0
10..12,0.0827,27.4294,0.003,-12589.083616,OG0003751,M0
12..5,0.0748,24.8092,0.003,-12589.083616,OG0003751,M0
12..6,0.0834,27.6579,0.003,-12589.083616,OG0003751,M0
9..4,0.1366,45.3231,0.003,-12589.083616,OG0003751,M0
8..7,0.2234,74.1033,0.003,-12589.083616,OG0003751,M0
8..1,0.1613,3.4635,0.0466,-15985.999156,OG0003761,M0
8..9,0.0562,1.2067,0.0466,-15985.999156,OG0003761,M0
9..10,0.0413,0.8876,0.0466,-15985.999156,OG0003761,M0
10..11,0.0762,1.6359,0.0466,-15985.999156,OG0003761,M0
11..2,0.0807,1.7336,0.0466,-15985.999156,OG0003761,M0
11..3,0.0827,1.7759,0.0466,-15985.999156,OG0003761,M0
10..12,0.1127,2.4204,0.0466,-15985.999156,OG0003761,M0
12..5,0.173,3.7149,0.0466,-15985.999156,OG0003761,M0
12..6,0.1486,3.191,0.0466,-15985.999156,OG0003761,M0
9..4,0.1279,2.7464,0.0466,-15985.999156,OG0003761,M0
8..7,0.1918,4.1188,0.0466,-15985.999156,OG0003761,M0
8..1,0.1106,2.1208,0.0522,-12459.903535,OG0003753,M0
8..9,0.0416,0.797,0.0522,-12459.903535,OG0003753,M0
9..10,0.0459,0.8802,0.0522,-12459.903535,OG0003753,M0
10..11,0.1081,2.0728,0.0522,-12459.903535,OG0003753,M0
11..2,0.0361,0.6913,0.0522,-12459.903535,OG0003753,M0
11..3,0.0699,1.3407,0.0522,-12459.903535,OG0003753,M0
10..12,0.1068,2.0469,0.0522,-12459.903535,OG0003753,M0
12..5,0.1091,2.0912,0.0522,-12459.903535,OG0003753,M0
12..6,0.0909,1.7432,0.0522,-12459.903535,OG0003753,M0
9..4,0.1218,2.3348,0.0522,-12459.903535,OG0003753,M0
8..7,0.3309,6.3425,0.0522,-12459.903535,OG0003753,M0
8..1,0.1155,67.9705,0.0017,-3817.447801,OG0003756,M0
8..9,0.0239,14.0783,0.0017,-3817.447801,OG0003756,M0
9..10,0.0224,13.1548,0.0017,-3817.447801,OG0003756,M0
10..11,0.0396,23.3108,0.0017,-3817.447801,OG0003756,M0
11..2,0.0325,19.1304,0.0017,-3817.447801,OG0003756,M0
11..3,0.0909,53.4779,0.0017,-3817.447801,OG0003756,M0
10..12,0.0971,57.1509,0.0017,-3817.447801,OG0003756,M0
12..5,0.093,54.7533,0.0017,-3817.447801,OG0003756,M0
12..6,0.0605,35.5871,0.0017,-3817.447801,OG0003756,M0
9..4,0.0753,44.3007,0.0017,-3817.447801,OG0003756,M0
8..7,0.0565,33.2566,0.0017,-3817.447801,OG0003756,M0
8..1,0.17,2.6838,0.0634,-4744.926244,OG0003796,M0
8..9,0.0927,1.4633,0.0634,-4744.926244,OG0003796,M0
9..10,0.0449,0.7092,0.0634,-4744.926244,OG0003796,M0
10..11,0.06,0.9476,0.0634,-4744.926244,OG0003796,M0
11..2,0.0875,1.3806,0.0634,-4744.926244,OG0003796,M0
11..3,0.1128,1.7798,0.0634,-4744.926244,OG0003796,M0
10..4,0.1015,1.6018,0.0634,-4744.926244,OG0003796,M0
9..12,0.0843,1.3303,0.0634,-4744.926244,OG0003796,M0
12..5,0.1242,1.9605,0.0634,-4744.926244,OG0003796,M0
12..6,0.0722,1.1396,0.0634,-4744.926244,OG0003796,M0
8..7,0.1341,2.1172,0.0634,-4744.926244,OG0003796,M0
8..1,0.1613,70.6143,0.0023,-15555.847709,OG0003798,M0
8..9,0.0494,21.6392,0.0023,-15555.847709,OG0003798,M0
9..10,0.1063,46.542,0.0023,-15555.847709,OG0003798,M0
10..2,0.0946,41.425,0.0023,-15555.847709,OG0003798,M0
10..3,0.1193,52.22,0.0023,-15555.847709,OG0003798,M0
9..11,0.0305,13.3482,0.0023,-15555.847709,OG0003798,M0
11..4,0.1517,66.424,0.0023,-15555.847709,OG0003798,M0
11..12,0.1667,72.986,0.0023,-15555.847709,OG0003798,M0
12..5,0.1069,46.8197,0.0023,-15555.847709,OG0003798,M0
12..6,0.1152,50.4504,0.0023,-15555.847709,OG0003798,M0
8..7,0.1366,59.8138,0.0023,-15555.847709,OG0003798,M0
8..1,0.1149,1.8011,0.0638,-6083.798527,OG0003775,M0
8..9,0.0355,0.5562,0.0638,-6083.798527,OG0003775,M0
9..10,0.0531,0.8324,0.0638,-6083.798527,OG0003775,M0
10..11,0.067,1.0501,0.0638,-6083.798527,OG0003775,M0
11..2,0.0905,1.4187,0.0638,-6083.798527,OG0003775,M0
11..3,0.1368,2.1448,0.0638,-6083.798527,OG0003775,M0
10..12,0.0648,1.0164,0.0638,-6083.798527,OG0003775,M0
12..5,0.1163,1.8227,0.0638,-6083.798527,OG0003775,M0
12..6,0.0905,1.4192,0.0638,-6083.798527,OG0003775,M0
9..7,0.1047,1.641,0.0638,-6083.798527,OG0003775,M0
8..4,0.158,2.4761,0.0638,-6083.798527,OG0003775,M0
8..1,0.0823,6.5665,0.0125,-8758.793477,OG0003771,M0
8..9,0.0286,2.2854,0.0125,-8758.793477,OG0003771,M0
9..10,0.0372,2.9691,0.0125,-8758.793477,OG0003771,M0
10..11,0.0506,4.0393,0.0125,-8758.793477,OG0003771,M0
11..2,0.0597,4.7621,0.0125,-8758.793477,OG0003771,M0
11..3,0.0665,5.3067,0.0125,-8758.793477,OG0003771,M0
10..4,0.1669,13.3203,0.0125,-8758.793477,OG0003771,M0
9..7,0.1243,9.9238,0.0125,-8758.793477,OG0003771,M0
8..12,0.0918,7.3323,0.0125,-8758.793477,OG0003771,M0
12..5,0.0496,3.9628,0.0125,-8758.793477,OG0003771,M0
12..6,0.0397,3.1668,0.0125,-8758.793477,OG0003771,M0
8..1,0.2349,79.4375,0.003,-6125.972216,OG0003769,M0
8..9,0.0312,10.5458,0.003,-6125.972216,OG0003769,M0
9..10,0.0148,5.003,0.003,-6125.972216,OG0003769,M0
10..11,0.0668,22.5801,0.003,-6125.972216,OG0003769,M0
11..2,0.0876,29.6289,0.003,-6125.972216,OG0003769,M0
11..3,0.1,33.8056,0.003,-6125.972216,OG0003769,M0
10..4,0.109,36.8462,0.003,-6125.972216,OG0003769,M0
9..12,0.0999,33.7728,0.003,-6125.972216,OG0003769,M0
12..5,0.1185,40.0608,0.003,-6125.972216,OG0003769,M0
12..6,0.1072,36.2381,0.003,-6125.972216,OG0003769,M0
8..7,0.113,38.2018,0.003,-6125.972216,OG0003769,M0
8..1,0.1812,5.2293,0.0347,-12870.656724,OG0003764,M0
8..9,0.0567,1.6363,0.0347,-12870.656724,OG0003764,M0
9..10,0.0632,1.8237,0.0347,-12870.656724,OG0003764,M0
10..11,0.1107,3.1942,0.0347,-12870.656724,OG0003764,M0
11..2,0.0972,2.8037,0.0347,-12870.656724,OG0003764,M0
11..3,0.1149,3.3154,0.0347,-12870.656724,OG0003764,M0
10..12,0.1415,4.0821,0.0347,-12870.656724,OG0003764,M0
12..5,0.1293,3.7313,0.0347,-12870.656724,OG0003764,M0
12..6,0.1041,3.004,0.0347,-12870.656724,OG0003764,M0
9..4,0.1637,4.7234,0.0347,-12870.656724,OG0003764,M0
8..7,0.174,5.0219,0.0347,-12870.656724,OG0003764,M0
8..1,0.1298,2.834,0.0458,-3113.504869,OG0003773,M0
8..9,0.1495,3.2631,0.0458,-3113.504869,OG0003773,M0
9..10,0.0189,0.4135,0.0458,-3113.504869,OG0003773,M0
10..11,0.075,1.638,0.0458,-3113.504869,OG0003773,M0
11..2,0.1287,2.8087,0.0458,-3113.504869,OG0003773,M0
11..3,0.0936,2.0438,0.0458,-3113.504869,OG0003773,M0
10..12,0.0975,2.1282,0.0458,-3113.504869,OG0003773,M0
12..5,0.0248,0.5419,0.0458,-3113.504869,OG0003773,M0
12..6,0.1651,3.6041,0.0458,-3113.504869,OG0003773,M0
9..4,0.0818,1.7852,0.0458,-3113.504869,OG0003773,M0
8..7,0.0745,1.6266,0.0458,-3113.504869,OG0003773,M0
8..1,0.1115,1.6125,0.0691,-5937.729689,OG0003804,M0
8..9,0.0361,0.5224,0.0691,-5937.729689,OG0003804,M0
9..10,0.071,1.0267,0.0691,-5937.729689,OG0003804,M0
10..2,0.0692,1.0006,0.0691,-5937.729689,OG0003804,M0
10..11,0.0159,0.2304,0.0691,-5937.729689,OG0003804,M0
11..3,0.0517,0.7474,0.0691,-5937.729689,OG0003804,M0
11..12,0.0794,1.1492,0.0691,-5937.729689,OG0003804,M0
12..5,0.0683,0.988,0.0691,-5937.729689,OG0003804,M0
12..6,0.061,0.8826,0.0691,-5937.729689,OG0003804,M0
9..4,0.0983,1.4216,0.0691,-5937.729689,OG0003804,M0
8..7,0.151,2.1848,0.0691,-5937.729689,OG0003804,M0
8..1,0.012,2.8471,0.0042,-2404.912662,OG0003801,M0
8..9,0.0,0.0,0.0042,-2404.912662,OG0003801,M0
9..10,0.0,0.0,0.0042,-2404.912662,OG0003801,M0
10..11,0.0555,13.151,0.0042,-2404.912662,OG0003801,M0
11..2,0.041,9.7117,0.0042,-2404.912662,OG0003801,M0
11..3,0.0457,10.8352,0.0042,-2404.912662,OG0003801,M0
10..7,0.0041,0.9699,0.0042,-2404.912662,OG0003801,M0
9..4,0.0048,1.1337,0.0042,-2404.912662,OG0003801,M0
8..12,0.047,11.1487,0.0042,-2404.912662,OG0003801,M0
12..5,0.0296,7.0054,0.0042,-2404.912662,OG0003801,M0
12..6,0.0095,2.2602,0.0042,-2404.912662,OG0003801,M0
8..1,0.0722,26.9481,0.0027,-6762.300953,OG0003802,M0
8..9,0.032,11.9555,0.0027,-6762.300953,OG0003802,M0
9..10,0.0515,19.2355,0.0027,-6762.300953,OG0003802,M0
10..11,0.1117,41.6896,0.0027,-6762.300953,OG0003802,M0
11..2,0.0807,30.1136,0.0027,-6762.300953,OG0003802,M0
11..3,0.0457,17.0615,0.0027,-6762.300953,OG0003802,M0
10..12,0.0745,27.8147,0.0027,-6762.300953,OG0003802,M0
12..5,0.0789,29.4362,0.0027,-6762.300953,OG0003802,M0
12..6,0.0779,29.0818,0.0027,-6762.300953,OG0003802,M0
9..7,0.1183,44.1773,0.0027,-6762.300953,OG0003802,M0
8..4,0.1414,52.78,0.0027,-6762.300953,OG0003802,M0
8..1,0.3734,11.4344,0.0327,-12513.150279,OG0003866,M0
8..9,0.086,2.6329,0.0327,-12513.150279,OG0003866,M0
9..10,0.0643,1.9692,0.0327,-12513.150279,OG0003866,M0
10..11,0.1877,5.7473,0.0327,-12513.150279,OG0003866,M0
11..2,0.1695,5.1898,0.0327,-12513.150279,OG0003866,M0
11..3,0.1692,5.1814,0.0327,-12513.150279,OG0003866,M0
10..12,0.1213,3.715,0.0327,-12513.150279,OG0003866,M0
12..5,0.2745,8.4061,0.0327,-12513.150279,OG0003866,M0
12..6,0.2924,8.9548,0.0327,-12513.150279,OG0003866,M0
9..4,0.2933,8.9806,0.0327,-12513.150279,OG0003866,M0
8..7,0.4062,12.439,0.0327,-12513.150279,OG0003866,M0
8..1,0.1343,1.8124,0.0741,-7641.842855,OG0003828,M0
8..9,0.026,0.3503,0.0741,-7641.842855,OG0003828,M0
9..10,0.0288,0.3879,0.0741,-7641.842855,OG0003828,M0
10..11,0.0552,0.7441,0.0741,-7641.842855,OG0003828,M0
11..2,0.0596,0.804,0.0741,-7641.842855,OG0003828,M0
11..3,0.0798,1.0768,0.0741,-7641.842855,OG0003828,M0
10..12,0.1135,1.5308,0.0741,-7641.842855,OG0003828,M0
12..5,0.1011,1.3634,0.0741,-7641.842855,OG0003828,M0
12..6,0.0791,1.0676,0.0741,-7641.842855,OG0003828,M0
9..4,0.1028,1.3868,0.0741,-7641.842855,OG0003828,M0
8..7,0.1537,2.0734,0.0741,-7641.842855,OG0003828,M0
8..1,0.0979,1.4947,0.0655,-5411.874282,OG0003806,M0
8..9,0.0289,0.4421,0.0655,-5411.874282,OG0003806,M0
9..10,0.0192,0.2933,0.0655,-5411.874282,OG0003806,M0
10..11,0.0331,0.5061,0.0655,-5411.874282,OG0003806,M0
11..2,0.0819,1.2508,0.0655,-5411.874282,OG0003806,M0
11..3,0.0488,0.7449,0.0655,-5411.874282,OG0003806,M0
10..12,0.0626,0.9566,0.0655,-5411.874282,OG0003806,M0
12..5,0.0507,0.775,0.0655,-5411.874282,OG0003806,M0
12..6,0.0468,0.7151,0.0655,-5411.874282,OG0003806,M0
9..4,0.0495,0.7555,0.0655,-5411.874282,OG0003806,M0
8..7,0.0718,1.0963,0.0655,-5411.874282,OG0003806,M0
8..1,0.1402,59.1433,0.0024,-6404.893302,OG0003805,M0
8..9,0.0701,29.5528,0.0024,-6404.893302,OG0003805,M0
9..10,0.0477,20.121,0.0024,-6404.893302,OG0003805,M0
10..11,0.0897,37.8214,0.0024,-6404.893302,OG0003805,M0
11..2,0.0827,34.8693,0.0024,-6404.893302,OG0003805,M0
11..3,0.0771,32.5033,0.0024,-6404.893302,OG0003805,M0
10..12,0.1973,83.2143,0.0024,-6404.893302,OG0003805,M0
12..5,0.1055,44.4935,0.0024,-6404.893302,OG0003805,M0
12..6,0.1402,59.1257,0.0024,-6404.893302,OG0003805,M0
9..4,0.133,56.0879,0.0024,-6404.893302,OG0003805,M0
8..7,0.1237,52.1603,0.0024,-6404.893302,OG0003805,M0
8..1,0.0823,1.5764,0.0522,-17311.722746,OG0003808,M0
8..9,0.0383,0.7329,0.0522,-17311.722746,OG0003808,M0
9..10,0.0145,0.2775,0.0522,-17311.722746,OG0003808,M0
10..11,0.0298,0.5702,0.0522,-17311.722746,OG0003808,M0
11..2,0.0341,0.6524,0.0522,-17311.722746,OG0003808,M0
11..3,0.0561,1.0753,0.0522,-17311.722746,OG0003808,M0
10..4,0.0459,0.8783,0.0522,-17311.722746,OG0003808,M0
9..12,0.0397,0.7613,0.0522,-17311.722746,OG0003808,M0
12..5,0.0395,0.7567,0.0522,-17311.722746,OG0003808,M0
12..6,0.0516,0.9883,0.0522,-17311.722746,OG0003808,M0
8..7,0.0697,1.3348,0.0522,-17311.722746,OG0003808,M0
8..1,0.3225,5.3343,0.0605,-7142.151558,OG0003809,M0
8..9,0.0566,0.9365,0.0605,-7142.151558,OG0003809,M0
9..10,0.0632,1.0455,0.0605,-7142.151558,OG0003809,M0
10..11,0.1242,2.0535,0.0605,-7142.151558,OG0003809,M0
11..2,0.2026,3.3512,0.0605,-7142.151558,OG0003809,M0
11..3,0.3063,5.0665,0.0605,-7142.151558,OG0003809,M0
10..12,0.1967,3.2534,0.0605,-7142.151558,OG0003809,M0
12..5,0.3877,6.413,0.0605,-7142.151558,OG0003809,M0
12..6,0.2407,3.9812,0.0605,-7142.151558,OG0003809,M0
9..4,0.3547,5.866,0.0605,-7142.151558,OG0003809,M0
8..7,0.4046,6.6922,0.0605,-7142.151558,OG0003809,M0
8..1,0.1767,2.913,0.0606,-3132.395014,OG0003851,M0
8..9,0.0726,1.1974,0.0606,-3132.395014,OG0003851,M0
9..10,0.0131,0.2165,0.0606,-3132.395014,OG0003851,M0
10..11,0.0841,1.3869,0.0606,-3132.395014,OG0003851,M0
11..2,0.0586,0.967,0.0606,-3132.395014,OG0003851,M0
11..3,0.0461,0.7601,0.0606,-3132.395014,OG0003851,M0
10..12,0.0793,1.3076,0.0606,-3132.395014,OG0003851,M0
12..5,0.0354,0.5837,0.0606,-3132.395014,OG0003851,M0
12..6,0.0743,1.2255,0.0606,-3132.395014,OG0003851,M0
9..4,0.1266,2.0877,0.0606,-3132.395014,OG0003851,M0
8..7,0.0674,1.1121,0.0606,-3132.395014,OG0003851,M0
8..1,0.1537,25.9588,0.0059,-6154.283649,OG0003833,M0
8..9,0.0222,3.7424,0.0059,-6154.283649,OG0003833,M0
9..10,0.1265,21.3719,0.0059,-6154.283649,OG0003833,M0
10..11,0.0669,11.2942,0.0059,-6154.283649,OG0003833,M0
11..2,0.0746,12.5991,0.0059,-6154.283649,OG0003833,M0
11..3,0.0852,14.386,0.0059,-6154.283649,OG0003833,M0
10..12,0.2271,38.354,0.0059,-6154.283649,OG0003833,M0
12..5,0.1434,24.2257,0.0059,-6154.283649,OG0003833,M0
12..6,0.1438,24.2935,0.0059,-6154.283649,OG0003833,M0
9..7,0.3967,67.0062,0.0059,-6154.283649,OG0003833,M0
8..4,0.276,46.6098,0.0059,-6154.283649,OG0003833,M0
8..1,0.2116,3.5442,0.0597,-8767.041955,OG0003848,M0
8..9,0.0949,1.5894,0.0597,-8767.041955,OG0003848,M0
9..10,0.0609,1.0198,0.0597,-8767.041955,OG0003848,M0
10..11,0.1107,1.8531,0.0597,-8767.041955,OG0003848,M0
11..2,0.1247,2.0878,0.0597,-8767.041955,OG0003848,M0
11..3,0.1769,2.9628,0.0597,-8767.041955,OG0003848,M0
10..12,0.1435,2.4036,0.0597,-8767.041955,OG0003848,M0
12..5,0.1618,2.7093,0.0597,-8767.041955,OG0003848,M0
12..6,0.1842,3.085,0.0597,-8767.041955,OG0003848,M0
9..4,0.234,3.918,0.0597,-8767.041955,OG0003848,M0
8..7,0.1764,2.9538,0.0597,-8767.041955,OG0003848,M0
8..1,0.5669,82.4031,0.0069,-9888.41028,OG0003822,M0
8..9,0.026,3.7785,0.0069,-9888.41028,OG0003822,M0
9..10,0.0625,9.0885,0.0069,-9888.41028,OG0003822,M0
10..11,0.3249,47.2282,0.0069,-9888.41028,OG0003822,M0
11..2,0.2606,37.8795,0.0069,-9888.41028,OG0003822,M0
11..3,0.4344,63.1413,0.0069,-9888.41028,OG0003822,M0
10..12,0.242,35.1721,0.0069,-9888.41028,OG0003822,M0
12..5,0.2809,40.829,0.0069,-9888.41028,OG0003822,M0
12..6,0.1512,21.9766,0.0069,-9888.41028,OG0003822,M0
9..7,0.3646,52.9969,0.0069,-9888.41028,OG0003822,M0
8..4,0.3004,43.6578,0.0069,-9888.41028,OG0003822,M0
8..1,0.4277,4.2695,0.1002,-6062.501273,OG0003826,M0
8..9,0.1734,1.7312,0.1002,-6062.501273,OG0003826,M0
9..2,0.2187,2.1833,0.1002,-6062.501273,OG0003826,M0
9..3,0.2467,2.4624,0.1002,-6062.501273,OG0003826,M0
8..10,0.0254,0.2538,0.1002,-6062.501273,OG0003826,M0
10..11,0.0852,0.8504,0.1002,-6062.501273,OG0003826,M0
11..4,0.1802,1.7987,0.1002,-6062.501273,OG0003826,M0
11..7,0.2382,2.3778,0.1002,-6062.501273,OG0003826,M0
10..12,0.145,1.4472,0.1002,-6062.501273,OG0003826,M0
12..5,0.1468,1.4655,0.1002,-6062.501273,OG0003826,M0
12..6,0.1568,1.5655,0.1002,-6062.501273,OG0003826,M0
8..1,0.1482,66.2353,0.0022,-5709.631226,OG0003837,M0
8..9,0.0511,22.8259,0.0022,-5709.631226,OG0003837,M0
9..10,0.0939,41.9424,0.0022,-5709.631226,OG0003837,M0
10..2,0.0709,31.6648,0.0022,-5709.631226,OG0003837,M0
10..3,0.0547,24.4241,0.0022,-5709.631226,OG0003837,M0
9..4,0.1462,65.3396,0.0022,-5709.631226,OG0003837,M0
8..11,0.0316,14.1404,0.0022,-5709.631226,OG0003837,M0
11..12,0.095,42.4593,0.0022,-5709.631226,OG0003837,M0
12..5,0.0822,36.7207,0.0022,-5709.631226,OG0003837,M0
12..6,0.1181,52.7739,0.0022,-5709.631226,OG0003837,M0
11..7,0.1689,75.4454,0.0022,-5709.631226,OG0003837,M0
8..1,0.2189,6.4508,0.0339,-4263.200484,OG0003850,M0
8..9,0.0613,1.8076,0.0339,-4263.200484,OG0003850,M0
9..10,0.0629,1.8531,0.0339,-4263.200484,OG0003850,M0
10..2,0.1026,3.023,0.0339,-4263.200484,OG0003850,M0
10..3,0.1097,3.2322,0.0339,-4263.200484,OG0003850,M0
